Query_ID,Modelo,Stopwords_Removidas,Stemming_Aplicado,P@10,R@10,F1@10,AP
1,Vetorial,0,0,0.2,0.07142857142857142,0.10526315789473682,0.10602343089507252
2,Vetorial,0,0,0.1,0.045454545454545456,0.06250000000000001,0.037473835551463636
3,Vetorial,0,0,0.1,0.125,0.11111111111111112,0.032011069260952194
4,Vetorial,0,0,0.2,1.0,0.33333333333333337,0.5
5,Vetorial,0,0,0.0,0.0,0.0,0.0015077596289185403
6,Vetorial,0,0,0.1,0.25,0.14285714285714288,0.03893269162699708
7,Vetorial,0,0,0.0,0.0,0.0,0.024781074245468483
8,Vetorial,0,0,0.0,0.0,0.0,0.014807149579956871
9,Vetorial,0,0,0.3,1.0,0.4615384615384615,1.0
10,Vetorial,0,0,0.1,0.125,0.11111111111111112,0.19014011772038106
11,Vetorial,0,0,0.1,0.14285714285714285,0.11764705882352941,0.1449454214982165
12,Vetorial,0,0,0.0,0.0,0.0,0.06104904722233242
13,Vetorial,0,0,0.0,0.0,0.0,0.0030125641060168525
14,Vetorial,0,0,0.1,1.0,0.18181818181818182,0.25
15,Vetorial,0,0,0.0,0.0,0.0,0.003257328990228013
16,Vetorial,0,0,0.1,0.3333333333333333,0.15384615384615383,0.17279202279202277
17,Vetorial,0,0,0.0,0.0,0.0,0.004276619364157984
18,Vetorial,0,0,0.0,0.0,0.0,0.015033271484884389
19,Vetorial,0,0,0.0,0.0,0.0,0.012161751017714507
20,Vetorial,0,0,0.0,0.0,0.0,0.027657921587006484
21,Vetorial,0,0,0.1,0.3333333333333333,0.15384615384615383,0.05497051991118873
23,Vetorial,0,0,0.0,0.0,0.0,0.03227086752083258
24,Vetorial,0,0,0.0,0.0,0.0,0.005070506092504738
25,Vetorial,0,0,0.1,0.1111111111111111,0.10526315789473685,0.12237682414368144
26,Vetorial,0,0,0.0,0.0,0.0,0.02564298446651388
27,Vetorial,0,0,0.1,0.3333333333333333,0.15384615384615383,0.1005050505050505
28,Vetorial,0,0,0.0,0.0,0.0,0.0013272845189348662
29,Vetorial,0,0,0.3,0.3333333333333333,0.3157894736842105,0.27871079498953966
30,Vetorial,0,0,0.0,0.0,0.0,0.01684983290995443
31,Vetorial,0,0,0.0,0.0,0.0,0.0008598452278589854
32,Vetorial,0,0,0.2,0.3333333333333333,0.25,0.1148206791186377
33,Vetorial,0,0,0.2,0.6666666666666666,0.30769230769230765,0.18966547192353644
34,Vetorial,0,0,0.1,0.2,0.13333333333333333,0.12707070707070706
35,Vetorial,0,0,0.1,1.0,0.18181818181818182,0.25
36,Vetorial,0,0,0.0,0.0,0.0,0.006812646729710161
37,Vetorial,0,0,0.2,0.2222222222222222,0.2105263157894737,0.18078910532439563
38,Vetorial,0,0,0.0,0.0,0.0,0.012930769510363094
39,Vetorial,0,0,0.1,0.09090909090909091,0.09523809523809525,0.034756900167826316
40,Vetorial,0,0,0.0,0.0,0.0,0.014833344589902882
41,Vetorial,0,0,0.1,1.0,0.18181818181818182,0.5
42,Vetorial,0,0,0.0,0.0,0.0,0.03622839434135968
43,Vetorial,0,0,0.2,0.6666666666666666,0.30769230769230765,0.5768321513002364
44,Vetorial,0,0,0.0,0.0,0.0,0.002171950673877721
45,Vetorial,0,0,0.2,0.16666666666666666,0.1818181818181818,0.1714058502083479
46,Vetorial,0,0,0.5,0.3333333333333333,0.4,0.29897480767929885
47,Vetorial,0,0,0.4,0.2857142857142857,0.3333333333333333,0.37689387879464037
48,Vetorial,0,0,0.2,0.18181818181818182,0.1904761904761905,0.07567693857833828
49,Vetorial,0,0,0.1,0.5,0.16666666666666669,0.1729957805907173
50,Vetorial,0,0,0.0,0.0,0.0,0.007919114973040133
51,Vetorial,0,0,0.1,0.1111111111111111,0.10526315789473685,0.1718670149422518
52,Vetorial,0,0,0.4,1.0,0.5714285714285715,0.6791666666666667
53,Vetorial,0,0,0.0,0.0,0.0,0.044829434379678734
54,Vetorial,0,0,0.1,0.1111111111111111,0.10526315789473685,0.10659122295227447
55,Vetorial,0,0,0.0,0.0,0.0,0.0636823763559014
56,Vetorial,0,0,0.3,0.3,0.3,0.13441571119604928
57,Vetorial,0,0,0.2,0.14285714285714285,0.16666666666666666,0.09496689914955966
