Modelo,Stopwords_Removidas,Stemming_Aplicado,MAP,F1@10
Vetorial,False,False,0.2695294829353872,0.24471563364267268
BM25,False,False,0.27323670174999526,0.24678593661469544
Vetorial,True,False,0.27517886783506046,0.24393133780607945
BM25,True,False,0.2827342018569235,0.2592764507509753
Vetorial,False,True,0.27849430782422724,0.2560551916546726
BM25,False,True,0.2931074033060539,0.26254823046973785
Vetorial,True,True,0.2887078140767382,0.2576451575984742
BM25,True,True,0.3042357891487841,0.2686736516943581
