Modelo,Config,MAP,F1@10,P@10,R@10
BM25,s/SW + s/Stem,0.27323670174999526,0.24678593661469556,0.21777777777777776,0.3657599495543252
BM25,SW + s/Stem,0.28273420185692344,0.2592764507509754,0.22799999999999998,0.3874857523415315
BM25,s/SW + Stem,0.29310740330605395,0.2625482304697379,0.2311111111111111,0.391628769006478
BM25,SW + Stem,0.30423578914878374,0.26867365169435814,0.23733333333333334,0.398151908176676
Vetorial,s/SW + s/Stem,0.26952948293538714,0.2447156336426728,0.21822222222222223,0.35972862620695434
Vetorial,SW + s/Stem,0.27517886783506057,0.24393133780607953,0.21822222222222223,0.3579463701550905
Vetorial,s/SW + Stem,0.2784943078242271,0.2560551916546728,0.22755555555555557,0.3772982294432242
Vetorial,SW + Stem,0.288707814076738,0.2576451575984743,0.2288888888888889,0.3803786107539977
