Query_ID,BM25,Vetorial,Diferenca_BM25_menos_Vetorial,Diferenca_Absoluta
81,0.75,0.2916666666666666,0.4583333333333334,0.4583333333333334
173,1.0,0.5833333333333333,0.41666666666666674,0.41666666666666674
167,0.5,0.1223776223776223,0.3776223776223777,0.3776223776223777
9,0.6388888888888888,1.0,-0.36111111111111116,0.36111111111111116
205,0.7,0.3928571428571428,0.30714285714285716,0.30714285714285716
15,1.0,0.7,0.30000000000000004,0.30000000000000004
145,0.2834458783513405,0.5736305361305362,-0.29018465777919566,0.29018465777919566
136,0.3969392635102822,0.1160079051383399,0.2809313583719423,0.2809313583719423
144,0.4563492063492063,0.7098595848595849,-0.2535103785103786,0.2535103785103786
36,0.5136986301369864,0.2631578947368421,0.25054073540014427,0.25054073540014427
146,0.5833333333333333,0.8333333333333333,-0.25,0.25
85,0.2625886607313141,0.0168785087706166,0.2457101519606975,0.2457101519606975
33,0.6388888888888888,0.4027777777777777,0.23611111111111116,0.23611111111111116
18,0.3582123758594346,0.1343685300207039,0.2238438458387307,0.2238438458387307
52,0.5111111111111111,0.7333333333333333,-0.2222222222222222,0.2222222222222222
164,0.5116986210628451,0.3076794526192462,0.20401916844359896,0.20401916844359896
143,0.7,0.5,0.19999999999999996,0.19999999999999996
191,0.3893427081523823,0.5766009559682572,-0.1872582478158749,0.1872582478158749
25,0.7007937733841348,0.5196028962856499,0.18119087709848491,0.18119087709848491
184,0.3269159412016554,0.1531070309167012,0.1738089102849542,0.1738089102849542
197,0.6222222222222221,0.7916666666666666,-0.1694444444444445,0.1694444444444445
113,0.1806746522866572,0.3486498156187275,-0.1679751633320703,0.1679751633320703
154,0.75,0.5833333333333333,0.16666666666666674,0.16666666666666674
43,0.546064864097651,0.7097140402552773,-0.1636491761576263,0.1636491761576263
165,0.5,0.3409090909090909,0.15909090909090912,0.15909090909090912
24,0.3196078431372549,0.4738562091503267,-0.15424836601307185,0.15424836601307185
64,0.5476190476190477,0.7,-0.15238095238095228,0.15238095238095228
148,0.211903302193741,0.3629565039429052,-0.15105320174916417,0.15105320174916417
78,0.3333333333333333,0.4833333333333333,-0.14999999999999997,0.14999999999999997
110,0.1546996482784154,0.2999536178107607,-0.1452539695323453,0.1452539695323453
5,0.325,0.1818979266347687,0.1431020733652313,0.1431020733652313
106,0.4565476190476191,0.3211250805931657,0.1354225384544534,0.1354225384544534
86,0.5833333333333333,0.45,0.13333333333333325,0.13333333333333325
168,0.1203703703703703,0.25,-0.1296296296296297,0.1296296296296297
161,0.5360608619961562,0.4078123303395535,0.12824853165660272,0.12824853165660272
58,0.2223745791691657,0.3494504791461841,-0.1270758999770184,0.1270758999770184
206,0.224410406029662,0.103914763397522,0.12049564263214001,0.12049564263214001
169,0.3050761421319797,0.185254696284108,0.11982144584787169,0.11982144584787169
77,0.2903703703703703,0.4093915343915344,-0.11902116402116414,0.11902116402116414
122,0.3178360306131139,0.2008923939984375,0.11694363661467638,0.11694363661467638
21,0.0563352665592468,0.1702704451345755,-0.11393517857532871,0.11393517857532871
129,0.3846088435374149,0.2712968097827246,0.11331203375469034,0.11331203375469034
141,0.3685391468853192,0.2566122967384299,0.1119268501468893,0.1119268501468893
65,0.242128638255961,0.3524947407367323,-0.1103661024807713,0.1103661024807713
59,0.3168939393939394,0.209696072066223,0.10719786732771638,0.10719786732771638
7,0.2618902625152625,0.1567643522890119,0.10512591022625059,0.10512591022625059
67,0.516871392532974,0.6207178385632115,-0.10384644603023752,0.10384644603023752
49,0.0964285714285714,0.1944444444444444,-0.09801587301587299,0.09801587301587299
198,0.5789370078740157,0.4822916666666666,0.09664534120734908,0.09664534120734908
193,0.8321237904571237,0.7356471564660721,0.09647663399105155,0.09647663399105155
133,0.2506580303572784,0.1542717689782406,0.0963862613790378,0.0963862613790378
170,0.5602134793311264,0.464236111111111,0.0959773682200154,0.0959773682200154
178,0.4964285714285714,0.5904761904761904,-0.09404761904761899,0.09404761904761899
222,0.7676647426647427,0.6744745448485605,0.09319019781618221,0.09319019781618221
180,0.468529836176895,0.3773809523809524,0.0911488837959426,0.0911488837959426
190,0.4065109380793473,0.3154179154179154,0.09109302266143188,0.09109302266143188
97,0.2092405376849858,0.1207589517933942,0.0884815858915916,0.0884815858915916
204,0.0450301061889556,0.1305895365189531,-0.08555943032999751,0.08555943032999751
160,0.1199100803819844,0.035532196650755,0.0843778837312294,0.0843778837312294
218,0.327314732511024,0.2476453989865864,0.07966933352443759,0.07966933352443759
12,0.3118548118548118,0.2322751322751322,0.0795796795796796,0.0795796795796796
105,0.4447311827956989,0.5233618233618234,-0.07863064056612445,0.07863064056612445
158,0.3553898007618515,0.2771338402340545,0.07825596052779699,0.07825596052779699
